[0605/171825.322:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'interest-cohort'.", source:  (0)
[0605/171909.719:INFO:CONSOLE(1)] "GOT RESULT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.720:INFO:CONSOLE(1)] "[object Object]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.720:INFO:CONSOLE(1)] "setting loading from nav false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.720:INFO:CONSOLE(1)] "setting loading to false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.720:INFO:CONSOLE(1)] "UPDATE DOCUMENT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.720:INFO:CONSOLE(1)] "new html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.721:INFO:CONSOLE(1)] "[object HTMLCollection]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.722:INFO:CONSOLE(1)] "Footer loading? false true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.837:INFO:CONSOLE(1)] "http://nintendo.com/hallway/index.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.838:INFO:CONSOLE(1)] "http://home.netscape.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.838:INFO:CONSOLE(1)] "http://www.microsoft.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.838:INFO:CONSOLE(1)] "http://www.macromedia.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171909.838:INFO:CONSOLE(1)] "http://www.macromedia.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172114.366:INFO:CONSOLE(1)] "getting w3c.org", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172114.367:INFO:CONSOLE(1)] "setting loading from nav true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172114.367:INFO:CONSOLE(1)] "setting loading to true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172114.370:INFO:CONSOLE(1)] "Footer loading? true false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172114.371:INFO:CONSOLE(1)] "timer 2", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.526:INFO:CONSOLE(1)] "GOT RESULT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.526:INFO:CONSOLE(1)] "[object Object]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.526:INFO:CONSOLE(1)] "setting loading from nav false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.526:INFO:CONSOLE(1)] "setting loading to false", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.526:INFO:CONSOLE(1)] "UPDATE DOCUMENT", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.527:INFO:CONSOLE(1)] "new html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.527:INFO:CONSOLE(1)] "[object HTMLCollection]", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.527:INFO:CONSOLE(1)] "Footer loading? false true", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.627:INFO:CONSOLE(1)] "http://w3c.org/Press/HTML4-REC", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.627:INFO:CONSOLE(1)] "http://w3c.org/Press/XML-PR", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.628:INFO:CONSOLE(1)] "http://www7.conf.au/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.628:INFO:CONSOLE(1)] "http://w3c.org/UI/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/MarkUp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/Style/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/DOM/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/Math/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/Graphics/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/International/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.629:INFO:CONSOLE(1)] "http://w3c.org/Fonts/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.630:INFO:CONSOLE(1)] "http://w3c.org/Amaya/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.630:INFO:CONSOLE(1)] "http://w3c.org/TandS/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.630:INFO:CONSOLE(1)] "http://w3c.org/DSig/Overview.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.630:INFO:CONSOLE(1)] "http://w3c.org/Metadata/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.630:INFO:CONSOLE(1)] "http://w3c.org/PICS/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/P3P/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/TandS/IG/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/Architecture/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/Protocols/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/Protocols/HTTP-NG/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.631:INFO:CONSOLE(1)] "http://w3c.org/AudioVideo/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.632:INFO:CONSOLE(1)] "http://w3c.org/XML/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.632:INFO:CONSOLE(1)] "http://w3c.org/Jigsaw/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.632:INFO:CONSOLE(1)] "http://w3c.org/WAI/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.632:INFO:CONSOLE(1)] "http://validator.w3.org/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.632:INFO:CONSOLE(1)] "http://w3c.org/Mail", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.633:INFO:CONSOLE(1)] "http://w3c.org/Arena/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.633:INFO:CONSOLE(1)] "http://www.w3j.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.633:INFO:CONSOLE(1)] "http://w3c.org/vl/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.633:INFO:CONSOLE(1)] "http://w3c.org/Daemon/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/Library/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/Consortium/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/News/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/WWW/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/Member/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/Press/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/Areas", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.634:INFO:CONSOLE(1)] "http://w3c.org/People/W3Cpeople.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.635:INFO:CONSOLE(1)] "http://w3c.org/TR/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.635:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Contact", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.635:INFO:CONSOLE(1)] "http://w3c.org/Status.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.636:INFO:CONSOLE(1)] "http://www.lcs.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.636:INFO:CONSOLE(1)] "http://web.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.636:INFO:CONSOLE(1)] "http://www.inria.fr/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.636:INFO:CONSOLE(1)] "http://www.keio.ac.jp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.636:INFO:CONSOLE(1)] "http://w3c.org/Consortium/Prospectus/DARPA.html", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://europa.eu.Int/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://www.lcs.mit.edu/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://www.inria.fr/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://www.keio.ac.jp/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://www.arpa.mil/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.637:INFO:CONSOLE(1)] "http://europa.eu.Int/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.638:INFO:CONSOLE(1)] "http://validator.w3.org/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/172115.638:INFO:CONSOLE(1)] "http://w3c.org/Help/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
